--------------------------------------------------
gpu : 0
data_dir : /home/jason/Desktop/data/ImageNet-1K
batch_size : 128
num_workers : 8
epochs : 40
warmup_epochs : 5
min_lr : 1e-08
lr : 0.05
momentum : 0.9
weight_decay : 0.0001
save_name : ResNet50_040_00
print_freq : 2000
log : ./logs/
npy : ./npys/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,14.3040,0.00999900,5.69708942,00:40:19,4.45437894,00:00:40,
001,28.2760,0.01999900,3.56160313,00:40:17,3.44555935,00:00:40,
002,37.7020,0.02999900,2.70137546,00:40:19,2.85584913,00:00:41,
003,41.3200,0.03999900,2.33506735,00:40:12,2.60824969,00:00:39,
004,43.4860,0.04999900,2.16146868,00:39:55,2.47372693,00:00:39,
005,48.9120,0.04989938,2.03048573,00:39:54,2.19480645,00:00:39,
006,48.9720,0.04959828,1.91425120,00:39:57,2.19930897,00:00:39,
007,51.7160,0.04909913,1.83369884,00:40:02,2.05581202,00:00:40,
008,52.7660,0.04840595,1.77114615,00:40:00,2.00124382,00:00:39,
009,53.8860,0.04752432,1.71783356,00:39:52,1.93820724,00:00:39,
010,53.6540,0.04646134,1.67424519,00:39:53,1.96184435,00:00:39,
011,56.1100,0.04522556,1.63512919,00:39:51,1.83428317,00:00:39,
012,56.4760,0.04382694,1.59925045,00:40:00,1.82198944,00:00:40,
013,57.0120,0.04227673,1.56410745,00:40:01,1.80587519,00:00:37,
014,57.5300,0.04058742,1.53248150,00:40:02,1.76360550,00:00:37,
015,58.2060,0.03877261,1.49998738,00:39:41,1.73821192,00:00:37,
016,58.5540,0.03684692,1.46541032,00:39:39,1.71036783,00:00:37,
017,59.8780,0.03482583,1.43063121,00:39:43,1.66176601,00:00:37,
018,57.7980,0.03272564,1.39578607,00:39:44,1.75580366,00:00:37,
019,60.0800,0.03056325,1.35846233,00:39:43,1.64285168,00:00:37,
020,60.9600,0.02835606,1.32108079,00:39:43,1.61207196,00:00:37,
021,62.5780,0.02612185,1.28067293,00:39:43,1.52744943,00:00:37,
022,62.9380,0.02387861,1.24144347,00:39:44,1.52090925,00:00:37,
023,62.8380,0.02164440,1.19516932,00:39:44,1.51754230,00:00:37,
024,65.0180,0.01943720,1.14982343,00:39:58,1.41075273,00:00:38,
025,65.1500,0.01727479,1.09908817,00:40:02,1.42056709,00:00:37,
026,66.1920,0.01517459,1.04575087,00:40:05,1.37570767,00:00:37,
027,67.2400,0.01315349,0.99085499,00:40:01,1.32875326,00:00:37,
028,67.7860,0.01122777,0.93036656,00:40:01,1.30750601,00:00:37,
029,68.9960,0.00941294,0.86537333,00:40:02,1.25974042,00:00:37,
030,69.5600,0.00772360,0.79666453,00:40:02,1.23957659,00:00:37,
031,70.6880,0.00617337,0.72189332,00:40:02,1.19270030,00:00:37,
032,71.1260,0.00477472,0.64461423,00:40:03,1.16030186,00:00:37,
033,72.2760,0.00353890,0.56457047,00:40:02,1.12795366,00:00:37,
034,72.6700,0.00247589,0.48636144,00:40:01,1.11239250,00:00:38,
035,73.1740,0.00159422,0.41488954,00:40:42,1.09971405,00:00:38,
036,73.3420,0.00090100,0.35782932,00:40:11,1.09265728,00:00:37,
037,73.4780,0.00040181,0.31675776,00:40:10,1.08792946,00:00:37,
038,73.5060,0.00010067,0.29120829,00:40:02,1.09263236,00:00:41,
039,73.6240,0.00000001,0.28065679,00:40:07,1.08837857,00:00:40,
