--------------------------------------------------
gpu : 6
data_dir : /mnt/ssd1/ImageNet
batch_size : 256
num_workers : 8
epochs : 180
warmup_epochs : 5
min_lr : 1e-08
optim : SGD
lr : 0.1
momentum : 0.9
weight_decay : 0.0001
save_name : ResNet50_180_06
print_freq : 500
log : ./logs/
npy : ./npys/
--------------------------------------------------

epoch,acc,lr,train_loss,train_time,val_loss,val_time
000,9.3660,0.01999600,5.96644019,00:58:55,5.00694246,00:01:06,
001,24.2760,0.03999600,4.25903972,00:58:53,3.68288571,00:01:08,
002,33.5860,0.05999600,3.43047146,00:58:50,3.05798819,00:01:09,
003,37.5640,0.07999600,3.02358897,00:58:51,2.86171679,00:01:08,
004,39.0060,0.09999600,2.81942067,00:58:51,2.76099692,00:01:11,
005,43.6940,0.09999195,2.67813095,00:58:52,2.47193097,00:01:10,
006,46.9540,0.09996778,2.55700241,00:58:52,2.32396262,00:01:12,
007,47.1300,0.09992752,2.47956490,00:58:52,2.31183275,00:01:10,
008,46.9100,0.09987116,2.41915522,00:58:51,2.32508570,00:01:07,
009,46.9680,0.09979873,2.37115743,00:58:52,2.31250105,00:01:05,
010,48.3040,0.09971025,2.33492738,00:58:51,2.23982795,00:01:04,
011,50.5260,0.09960576,2.30437233,00:58:52,2.09895848,00:01:05,
012,51.4420,0.09948527,2.27971784,00:58:53,2.10618271,00:01:03,
013,51.3500,0.09934884,2.25812113,00:58:51,2.08202868,00:01:02,
014,51.9860,0.09919651,2.24151924,00:58:53,2.07085888,00:01:03,
015,48.9360,0.09902832,2.22559876,00:58:52,2.22879139,00:01:05,
016,52.4540,0.09884434,2.21074906,00:58:53,2.04074790,00:01:03,
017,53.2540,0.09864461,2.20061059,00:58:50,1.98686278,00:01:02,
018,50.6620,0.09842920,2.18883311,00:58:50,2.14110388,00:01:04,
019,50.2240,0.09819819,2.17813710,00:58:49,2.15140007,00:01:06,
020,52.8460,0.09795165,2.16911306,00:58:50,2.00078433,00:01:06,
021,51.3300,0.09768965,2.16301326,00:58:49,2.08494235,00:01:07,
022,54.9320,0.09741228,2.15289762,00:58:50,1.90030549,00:01:08,
023,54.9840,0.09711964,2.14466993,00:58:49,1.90471184,00:01:09,
024,51.8020,0.09681181,2.13832939,00:58:49,2.06019306,00:01:10,
025,53.3220,0.09648889,2.13259027,00:58:50,1.98999881,00:01:10,
026,55.4180,0.09615099,2.12695199,00:58:50,1.88424476,00:01:08,
027,55.9420,0.09579822,2.11903135,00:58:49,1.85828972,00:01:09,
028,52.4380,0.09543069,2.11170272,00:58:49,2.03559737,00:01:06,
029,53.2940,0.09504852,2.10802361,00:58:49,2.01174909,00:01:04,
030,53.7620,0.09465183,2.10208286,00:58:48,1.97209881,00:01:02,
031,55.1160,0.09424076,2.09832312,00:58:49,1.89553685,00:01:03,
032,55.4700,0.09381542,2.09420074,00:58:48,1.88749064,00:01:04,
033,53.0740,0.09337597,2.08904024,00:58:49,2.03076605,00:01:03,
034,52.5320,0.09292253,2.08545513,00:58:50,2.05120527,00:01:03,
035,53.6720,0.09245527,2.07676549,00:58:51,1.94817609,00:01:02,
036,53.5920,0.09197432,2.07512147,00:58:51,1.96535962,00:01:01,
037,54.5200,0.09147984,2.07048568,00:58:52,1.92310756,00:01:00,
038,54.9140,0.09097200,2.06652014,00:58:51,1.90149521,00:00:58,
039,53.8340,0.09045096,2.06261327,00:58:50,1.97591621,00:00:59,
040,54.2820,0.08991687,2.05760929,00:58:49,1.95549768,00:00:59,
041,49.4720,0.08936993,2.05253610,00:58:48,2.21214930,00:01:00,
042,52.9180,0.08881030,2.05016027,00:58:50,2.01343186,00:00:59,
043,56.6860,0.08823816,2.04308886,00:58:49,1.81578357,00:01:00,
044,56.9980,0.08765369,2.03849612,00:58:49,1.80686972,00:00:59,
045,56.4920,0.08705710,2.03384151,00:58:48,1.83867795,00:01:03,
046,55.1040,0.08644856,2.03001615,00:58:47,1.90371345,00:01:02,
047,56.9100,0.08582827,2.02755850,00:58:47,1.81425256,00:01:00,
048,56.5940,0.08519644,2.02157486,00:58:49,1.83010319,00:01:00,
049,57.5560,0.08455326,2.01573719,00:58:48,1.77509996,00:00:59,
050,57.1740,0.08389895,2.01355479,00:58:49,1.78636524,00:01:04,
051,54.3020,0.08323372,2.00595725,00:58:49,1.92235337,00:01:01,
052,55.9540,0.08255778,2.00138460,00:58:49,1.85916262,00:01:03,
053,56.7720,0.08187134,1.99775918,00:58:48,1.81176672,00:01:00,
054,56.6920,0.08117463,1.99514965,00:58:48,1.82051539,00:00:59,
055,57.3440,0.08046788,1.98730276,00:58:48,1.78220790,00:01:01,
056,55.4140,0.07975131,1.98286666,00:58:47,1.87944206,00:01:01,
057,57.3400,0.07902515,1.97859988,00:58:49,1.80444651,00:01:02,
058,58.5000,0.07828963,1.97291583,00:58:48,1.73058494,00:00:59,
059,58.6320,0.07754500,1.96855143,00:58:46,1.72430537,00:01:00,
060,56.9380,0.07679149,1.96384828,00:58:47,1.80083859,00:01:01,
